task_id,repository_folder,soft_name_match,soft_name_token_f1,pred_use_case_name,gold_use_case_name
usecase_v1_0023,thakurpdhiraj__library_management_system,1,0.5714,Return Order,Mark order as returned and generate invoice
usecase_v1_0024,thakurpdhiraj__library_management_system,0,0.2857,Login User,Authenticate and access role-based views
usecase_v1_0025,abdulwahid880__School-Management-system-in-laravel-,0,0.5,Create School,Manage schools
usecase_v1_0026,abdulwahid880__School-Management-system-in-laravel-,0,0.4,Register Student,Register school users
usecase_v1_0027,abdulwahid880__School-Management-system-in-laravel-,0,0.4,Create Class,Manage classes and sections
usecase_v1_0028,abdulwahid880__School-Management-system-in-laravel-,0,0.2857,View Students' Attendance in a Section,Take attendance
usecase_v1_0029,abdulwahid880__School-Management-system-in-laravel-,1,0.8,Adjust Attendance for Student,Adjust attendance
usecase_v1_0030,abdulwahid880__School-Management-system-in-laravel-,0,0.0,View Teacher Grade Index,Calculate and save grades
usecase_v1_0031,abdulwahid880__School-Management-system-in-laravel-,1,0.8,View Student Grades,View grades
usecase_v1_0032,abdulwahid880__School-Management-system-in-laravel-,0,0.5,Create fee,Manage fees
usecase_v1_0033,abdulwahid880__School-Management-system-in-laravel-,0,0.0,Create Sector,Manage income and expenses
usecase_v1_0034,abdulwahid880__School-Management-system-in-laravel-,0,0.5,Create Exam,Manage exams
usecase_v1_0035,abdulwahid880__School-Management-system-in-laravel-,0,0.0,View syllabus detail,Manage academic content
usecase_v1_0036,abdulwahid880__School-Management-system-in-laravel-,1,0.6667,Add Book to Library,Manage library books
usecase_v1_0037,abdulwahid880__School-Management-system-in-laravel-,1,0.6667,Issue Books to Students,Issue and return books
usecase_v1_0038,abdulwahid880__School-Management-system-in-laravel-,0,0.2857,Import Students from XLSX,Import and export users
usecase_v1_0039,4jean__lav_sms,1,1.0,Manage Student Records,Manage student records
usecase_v1_0040,4jean__lav_sms,1,1.0,Promote Students,Promote students
usecase_v1_0041,4jean__lav_sms,0,0.3333,Manage Time Table Records,Manage timetable
usecase_v1_0042,4jean__lav_sms,1,1.0,Manage Payments,Manage payments
usecase_v1_0043,4jean__lav_sms,0,0.4,View Mark Management,Manage marks
usecase_v1_0044,4jean__lav_sms,0,0.4,View Mark Detail by Year and Student ID,View and print marksheet
usecase_v1_0045,4jean__lav_sms,0,0.2857,View Mark Tabulation Detail,Generate tabulation sheet
usecase_v1_0046,4jean__lav_sms,0,0.3333,Manage Student Promotions,Manage academic structure
usecase_v1_0047,4jean__lav_sms,1,0.8,View my children detail,View children
usecase_v1_0048,4jean__lav_sms,0,0.0,Change Password,Update own account
usecase_v1_0049,4jean__lav_sms,1,0.5714,Verify Pin for Student Record,Generate and verify pins
usecase_v1_0050,openfun__marsha,1,0.8,Create Video,Create video resource
usecase_v1_0051,openfun__marsha,1,1.0,Initiate Video Upload,Initiate video upload
usecase_v1_0052,openfun__marsha,1,0.6667,Upload Video Ended,Complete video upload
usecase_v1_0053,openfun__marsha,1,0.5714,View Video Detail,View video in LMS
usecase_v1_0054,openfun__marsha,1,0.6667,Upload Subtitles for a Video,Upload subtitles or transcripts
usecase_v1_0055,openfun__marsha,1,0.8571,Initiate Video Thumbnail Upload,Upload video thumbnail
usecase_v1_0056,openfun__marsha,1,0.8,Create Document,Create document resource
usecase_v1_0057,openfun__marsha,1,0.6667,Initiate and Upload Document,Upload document file
usecase_v1_0058,openfun__marsha,0,0.5,Create playlist,Manage playlist
usecase_v1_0059,openfun__marsha,1,0.6667,Manage Playlist Accesses,Manage playlist access
usecase_v1_0060,openfun__marsha,1,1.0,Start Live Session,Start live session
usecase_v1_0061,openfun__marsha,1,0.5,Stop Live Video Recording,Stop and harvest live session
usecase_v1_0062,openfun__marsha,0,0.4,Create video xAPI statement from website,Send video analytics statement
usecase_v1_0063,openfun__marsha,1,1.0,Create Classroom,Create classroom
usecase_v1_0064,openfun__marsha,1,0.6667,Create Classroom Document,Upload classroom document
usecase_v1_0065,mwinamijr__django-scms,0,0.4,Login User,Authenticate and view profile
usecase_v1_0066,mwinamijr__django-scms,1,0.8,Manage Teachers,Manage teacher accounts
usecase_v1_0067,mwinamijr__django-scms,0,0.4,Create Accountant,Manage accountant accounts
usecase_v1_0068,mwinamijr__django-scms,1,0.6667,Create Parent Account,Manage parent accounts
usecase_v1_0069,mwinamijr__django-scms,0,0.4,Create student,Manage student records
usecase_v1_0070,mwinamijr__django-scms,1,1.0,Bulk Upload Students,Bulk upload students
usecase_v1_0071,mwinamijr__django-scms,0,0.0,Bulk Upload Students to Classrooms,Manage academic structure
usecase_v1_0072,mwinamijr__django-scms,1,0.5,Bulk Upload Student Classes,Bulk upload academic data
usecase_v1_0073,mwinamijr__django-scms,1,0.6667,Record Payment,Record and allocate student payments
usecase_v1_0074,mwinamijr__django-scms,0,0.2857,Upload Receipts,Manage receipts and student debt overview
usecase_v1_0075,mwinamijr__django-scms,1,0.6667,Update Student Debt,Update or reverse debts
usecase_v1_0076,mwinamijr__django-scms,0,0.3333,View Teacher Attendance Detail,Record attendance
usecase_v1_0077,mwinamijr__django-scms,1,1.0,Generate Timetable,Generate timetable
usecase_v1_0078,mwinamijr__django-scms,0,0.2857,Create School Event,Manage academic calendar events
usecase_v1_0079,tough-dev-school__education-backend,0,0.3333,Purchase Course,View course group offerings
usecase_v1_0080,tough-dev-school__education-backend,0,0.4444,Apply Promocode for Course Purchase,Check course price with promocode
usecase_v1_0081,tough-dev-school__education-backend,1,1.0,Create order draft,Create order draft
usecase_v1_0082,tough-dev-school__education-backend,1,0.6667,Purchase Course with Promocode,Purchase course
usecase_v1_0083,tough-dev-school__education-backend,1,0.8,Confirm Order,Confirm paid order
usecase_v1_0084,tough-dev-school__education-backend,0,0.2857,View purchased course detail,List purchased courses
usecase_v1_0085,tough-dev-school__education-backend,0,0.3333,View module detail,View learning modules
usecase_v1_0086,tough-dev-school__education-backend,1,0.8,View lesson detail,View lessons
usecase_v1_0087,tough-dev-school__education-backend,0,0.2857,Fetch Material Detail,Read Notion learning material
usecase_v1_0088,tough-dev-school__education-backend,0,0.2222,Update Material Status and Trigger Update,Refresh Notion material cache
usecase_v1_0089,tough-dev-school__education-backend,1,0.6667,Create Homework Answer,Submit homework answer
usecase_v1_0090,tough-dev-school__education-backend,0,0.0,Create reaction,React to homework answer
usecase_v1_0091,tough-dev-school__education-backend,0,0.25,Check Crosscheck Status by Question,Review homework crosschecks
usecase_v1_0092,tough-dev-school__education-backend,0,0.4,Create diploma,Access diploma records
usecase_v1_0093,tough-dev-school__education-backend,0,0.4,Update User Profile,List users
usecase_v1_0094,tough-dev-school__education-backend,0,0.1818,Obtain JSON Web Token via Passwordless Token,Manage authentication and password recovery
usecase_v1_0095,tough-dev-school__education-backend,1,0.8571,Process Tinkoff Payment Notifications,Process payment notifications
usecase_v1_0096,knowledgefactory4u__librarymanagementsystem,1,0.5,Login Admin User,Sign in to library admin panel
usecase_v1_0097,knowledgefactory4u__librarymanagementsystem,0,0.4,Add new books,List and paginate books
usecase_v1_0098,knowledgefactory4u__librarymanagementsystem,1,1.0,Search Books,Search books
usecase_v1_0099,knowledgefactory4u__librarymanagementsystem,1,1.0,Create new book,Create book
usecase_v1_0100,knowledgefactory4u__librarymanagementsystem,1,1.0,Update Book,Update book
usecase_v1_0101,knowledgefactory4u__librarymanagementsystem,0,0.5,Remove Book,Delete book
usecase_v1_0102,knowledgefactory4u__librarymanagementsystem,0,0.5,Add new authors,Manage authors
usecase_v1_0103,knowledgefactory4u__librarymanagementsystem,0,0.5,Add new categories,Manage categories
usecase_v1_0104,knowledgefactory4u__librarymanagementsystem,0,0.5,Add new publishers,Manage publishers
usecase_v1_0105,knowledgefactory4u__librarymanagementsystem,1,0.6667,Export CSV,Export library data to CSV
usecase_v1_0106,SkyCascade__SkyLearn,1,0.8,Register Student Account,Register account
usecase_v1_0107,SkyCascade__SkyLearn,0,0.3333,Edit Student Profile,Manage profile and password
usecase_v1_0108,SkyCascade__SkyLearn,1,0.5714,View Dashboard Detail,View admin dashboard analytics
usecase_v1_0109,SkyCascade__SkyLearn,0,0.0,Add Item to Dashboard,Manage news and events
usecase_v1_0110,SkyCascade__SkyLearn,1,0.8,Manage Sessions,Manage academic sessions
usecase_v1_0111,SkyCascade__SkyLearn,0,0.5,Add Semester,Manage semesters
usecase_v1_0112,SkyCascade__SkyLearn,0,0.5,Create Student,Manage students
usecase_v1_0113,SkyCascade__SkyLearn,0,0.5,Create Lecturer,Manage lecturers
usecase_v1_0114,SkyCascade__SkyLearn,0,0.4,Add Parent to System,Manage parents
usecase_v1_0115,SkyCascade__SkyLearn,0,0.5,Create Program,Manage programs
usecase_v1_0116,SkyCascade__SkyLearn,0,0.0,Add Program,Manage courses
usecase_v1_0117,SkyCascade__SkyLearn,1,0.6667,Manage allocated courses,Allocate courses to lecturers
usecase_v1_0118,SkyCascade__SkyLearn,1,1.0,Upload Course Documentation,Upload course documentation
usecase_v1_0119,SkyCascade__SkyLearn,1,0.8571,Upload Video Tutorial,Upload course video tutorials
usecase_v1_0120,SkyCascade__SkyLearn,1,0.6667,Course Registration and Drop,Register and drop courses
usecase_v1_0121,SkyCascade__SkyLearn,0,0.3333,Add Score For Students,Submit student scores
usecase_v1_0122,SkyCascade__SkyLearn,1,0.75,View assessment result page,View grade and assessment results
usecase_v1_0123,SkyCascade__SkyLearn,0,0.4444,View Result Sheet PDF,Download registration form and result sheet
usecase_v1_0124,SkyCascade__SkyLearn,0,0.4,Create Quiz,Create and manage quizzes
usecase_v1_0125,SkyCascade__SkyLearn,0,0.25,Add MC Question to Quiz,Create multiple-choice questions
usecase_v1_0126,SkyCascade__SkyLearn,1,0.5714,Take Quiz,Take quiz and continue incomplete quiz
usecase_v1_0127,SkyCascade__SkyLearn,0,0.3333,Create Quiz,Review and mark quiz sittings
usecase_v1_0128,SkyCascade__SkyLearn,1,0.6667,Take Quiz Progress,View quiz progress
usecase_v1_0129,SkyCascade__SkyLearn,0,0.4,Search for News and Events,Search learning content
usecase_v1_0130,SkyCascade__SkyLearn,0,0.25,Create Payment via Stripe,Pay through payment gateway
usecase_v1_0131,SkyCascade__SkyLearn,0,0.4,Create Invoice,Create and view invoices
usecase_v1_0132,adityagoyal222__django-lms,0,0.0,Create User Account,Sign up and authenticate
usecase_v1_0133,adityagoyal222__django-lms,1,1.0,Create Course,Create course
usecase_v1_0134,adityagoyal222__django-lms,0,0.0,Create Course,Browse courses
usecase_v1_0135,adityagoyal222__django-lms,1,1.0,Enroll in Course,Enroll in course
usecase_v1_0136,adityagoyal222__django-lms,1,1.0,Unenroll from Course,Unenroll from course
usecase_v1_0137,adityagoyal222__django-lms,1,1.0,Create Assignment,Create assignment
usecase_v1_0138,adityagoyal222__django-lms,1,1.0,Update Assignment,Update assignment
usecase_v1_0139,adityagoyal222__django-lms,1,1.0,Delete Assignment,Delete assignment
usecase_v1_0140,adityagoyal222__django-lms,1,1.0,Submit Assignment,Submit assignment
usecase_v1_0141,adityagoyal222__django-lms,1,1.0,Delete Assignment Submission,Delete assignment submission
usecase_v1_0142,adityagoyal222__django-lms,1,0.8,Grade Assignment,Grade assignment submission
usecase_v1_0143,adityagoyal222__django-lms,1,0.8,Create Resource,Create course resource
usecase_v1_0144,adityagoyal222__django-lms,1,0.8,Delete Resource,Delete course resource
usecase_v1_0145,engripaye__library-management-system,1,1.0,Add New Book,Add book
usecase_v1_0146,engripaye__library-management-system,0,0.4,View book detail,List books
usecase_v1_0147,engripaye__library-management-system,1,1.0,Search for Books,Search books
usecase_v1_0148,engripaye__library-management-system,1,1.0,View book detail,View book detail
usecase_v1_0149,engripaye__library-management-system,1,0.8,Register New User,Register library user
usecase_v1_0150,engripaye__library-management-system,0,0.4,Register new user,List library users
usecase_v1_0151,engripaye__library-management-system,1,1.0,Borrow Book,Borrow book
usecase_v1_0152,engripaye__library-management-system,1,1.0,Return a Borrowed Book,Return borrowed book
usecase_v1_0153,AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,0,0.3333,View student detail,Manage student records
usecase_v1_0154,AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,0,0.0,View course detail,Manage courses
usecase_v1_0155,AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,1,1.0,Add Course to Student,Add course to student
usecase_v1_0156,AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,1,0.8571,Remove Course for Student,Remove course from student
usecase_v1_0157,AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,1,0.5714,Add Passport for Student,Manage student passport details
usecase_v1_0158,AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,1,0.8,Add Review,Add course review
usecase_v1_0159,AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,1,0.8,Remove Review,Remove course review
usecase_v1_0160,mehmetpekdemir__Library-Management-System,0,0.4,Add Book,List and view books
usecase_v1_0161,mehmetpekdemir__Library-Management-System,1,1.0,Search Books,Search books
usecase_v1_0162,mehmetpekdemir__Library-Management-System,1,1.0,Create book,Create book
usecase_v1_0163,mehmetpekdemir__Library-Management-System,1,1.0,Update Book,Update book
usecase_v1_0164,mehmetpekdemir__Library-Management-System,0,0.5,Remove Book,Delete book
usecase_v1_0165,mehmetpekdemir__Library-Management-System,0,0.5,Add Author,Manage authors
usecase_v1_0166,mehmetpekdemir__Library-Management-System,0,0.5,Add Category,Manage categories
usecase_v1_0167,mehmetpekdemir__Library-Management-System,1,1.0,Manage Publishers,Manage publishers
usecase_v1_0168,RameshMF__library-management-system,0,0.4,Borrow Book,Manage book catalog
usecase_v1_0169,RameshMF__library-management-system,0,0.4,Add User,Register library user
usecase_v1_0170,RameshMF__library-management-system,0,0.3333,View user detail,List library users
usecase_v1_0171,RameshMF__library-management-system,1,1.0,Borrow Book,Borrow book
usecase_v1_0172,RameshMF__library-management-system,1,1.0,Return Book,Return book
usecase_v1_0173,RameshMF__library-management-system,1,1.0,View Book Detail,View book detail
usecase_v1_0174,JacksonGao1999__StudentManagement,0,0.2857,View student detail,List students with pagination
usecase_v1_0175,JacksonGao1999__StudentManagement,0,0.0,Check User Existence,Validate student name
usecase_v1_0176,JacksonGao1999__StudentManagement,1,1.0,Create student,Create student
usecase_v1_0177,JacksonGao1999__StudentManagement,1,0.6667,View student detail,View and update student
usecase_v1_0178,JacksonGao1999__StudentManagement,1,1.0,Delete Students,Delete students
usecase_v1_0179,JacksonGao1999__StudentManagement,0,0.3333,View department detail,Load department options
usecase_v1_0180,Asitha123__Java-Spring-boot-Student-Management-System,0,0.4,View student detail,List students
usecase_v1_0181,Asitha123__Java-Spring-boot-Student-Management-System,0,0.2857,Save Student,Open student create or edit form
usecase_v1_0182,Asitha123__Java-Spring-boot-Student-Management-System,1,1.0,Save Student,Save student
usecase_v1_0183,Asitha123__Java-Spring-boot-Student-Management-System,1,1.0,Delete Student,Delete student
